question_id,type,question_type,year,form,course_before,course_after,unit_before,unit_after,topic_before,topic_after,topic_code_before,topic_code_after,lesson_before,lesson_after,source_file,source_page,source_question_number,source_checked,source_status,source_confidence,transcription_status,stem_status,choices_status,parts_status,answer_status,computed_answer,stored_answer,source_answer,solution_status,rubric_status,mathematical_status,math_status,katex_status,media_status,calculator_status,course_mapping_status,unit_mapping_status,topic_mapping_status,lesson_mapping_status,mapping_status,mapping_confidence,student_ready,review_required,overall_status,corrections_count,corrections_made,reviewer_notes,notes,timestamp
APCALC-LEGACY-MCQ-1969-001,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Function Symmetry: Odd Functions,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,7; 1,1,True,verified,verified,verified,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-002,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Logarithmic Inequalities,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,7; 1,2,True,verified,verified,verified,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-003,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,1,1,1.13,1.13 Removing Discontinuities,1.13,1.13,APCALC-1.13,APCALC-1.13,AP Calculus historical archive,7; 1,3,True,verified,verified,verified,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-004,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,6,6,6.9,6.9 Integrating Using Substitution,6.9,6.9,APCALC-6.9,APCALC-6.9,AP Calculus historical archive,7; 1,4,True,verified,verified,verified,verified,verified,not_required,verified,D,D,D,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-005,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,3,3,3.2,3.2 Implicit Differentiation,3.2,3.2,APCALC-3.2,APCALC-3.2,AP Calculus historical archive,7; 1,5,True,verified,verified,verified,verified,verified,not_required,verified,E,E,E,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-006,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,2,2,2.2,2.2 Defining the Derivative of a Function and Using Derivative Notation,2.2,2.2,APCALC-2.2,APCALC-2.2,AP Calculus historical archive,8; 2,6,True,verified,verified,verified,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-007,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.4,5.4 Using the First Derivative Test to Determine Relative Extrema,5.4,5.4,APCALC-5.4,APCALC-5.4,AP Calculus historical archive,8; 2,7,True,verified,verified,verified,verified,verified,not_required,verified,D,D,D,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-008,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Polynomial Remainder Theorem,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,8; 2,8,True,verified,verified,verified,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-009,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,4,4,4.5,4.5 Solving Related Rates Problems,4.5,4.5,APCALC-4.5,APCALC-4.5,AP Calculus historical archive,8; 2,9,True,verified,verified,verified,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
APCALC-LEGACY-MCQ-1969-010,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Eliminating a Parameter,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,8; 2,10,True,verified,verified,verified,verified,verified,not_required,verified,E,E,E,verified,not_required,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,verified,True,False,student-ready,1,studentReady/public deployment gate,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,Independently verified content gates passed. Licensed for student practice on the ECHS platform under Issue #56.,2026-07-28T03:03:45+03:00
